,Win4多,Win多2_玄哥(一日隔沖1雞酒1-1),Win多2_玄哥(一日隔沖1雞酒1-2),Win多2_玄哥(一日隔沖1雞酒1-3),Win多2_玄哥(一日隔沖2雞酒2-1),Win多2_玄哥(一日隔沖2雞酒2-2),Win多3_玄哥(三日波段1即將創高),Win多3_玄哥(三日波段2投信突買),Win多4_玄哥(五日波段1籌碼),Win多5_玄哥(十日波段1中大),內部人10日多,大長線破底翻上櫃股_自營,法說會10日多,注意股10日多,營收首次創新高20日多,用月營收預估的低本益比股20日多,籌碼雷達5日多,老司機_1號,處置股10日多
Win4多,1.0,0.07222275996361903,0.15152836926006716,0.0668203507805956,0.12829395776327765,0.1548590317437421,0.24306755226218307,0.20715246533370055,0.9330123776823162,0.11765642880957905,0.26837896509812026,0.03943925477054985,0.16530954102268391,0.35324115921463195,0.28432038152921607,0.17137097235498158,0.3360845726123749,0.2976832237664113,0.3077501585593397
Win多2_玄哥(一日隔沖1雞酒1-1),0.07222275996361903,1.0,0.08175771239999294,0.03350570200829108,0.0994616108052467,0.027188712610429013,0.10819194846549768,0.02215126705242228,0.07255806419277447,0.07376611233481813,0.029509663876258512,-0.008861090835967563,0.0027036072600852353,0.08369669623109006,0.05656478307558047,0.032717523992819145,0.061585679964064596,-0.0167955852114579,0.08927248531487499
Win多2_玄哥(一日隔沖1雞酒1-2),0.15152836926006716,0.08175771239999294,1.0,0.005049367202183901,-0.04480037417937283,-0.0441320834893224,0.5637265867407072,0.029743288271011446,0.13957335191801853,0.05320965848202516,0.06077541476685813,-0.007883038875008347,-0.047268771846777094,0.17747055179316704,0.037039867767926817,0.00044097866049292724,0.08487657325603079,0.09319077377998025,0.08781990589230859
Win多2_玄哥(一日隔沖1雞酒1-3),0.0668203507805956,0.03350570200829108,0.005049367202183901,1.0,0.0709971841944179,0.01832540953335983,0.11617276105606547,0.4176073275493987,0.08001653986868938,0.0002459601947481159,0.03497581209433903,-0.030803636223222183,0.015669689051429157,0.012970758919463485,-0.010213130338405136,0.026001705774511788,0.22112566654330273,-0.01923581735652418,0.11381577736689749
Win多2_玄哥(一日隔沖2雞酒2-1),0.12829395776327765,0.0994616108052467,-0.04480037417937283,0.0709971841944179,1.0,0.14605060283075713,0.00926594243113292,0.10382651748753688,0.1617739413413905,0.0487355789701634,0.10975135532199054,0.013573314843395282,0.08571760936578539,0.17535626218600364,0.11328536330830466,0.06158359406714848,0.1972768519455538,0.07258484119951297,0.09902599960633014
Win多2_玄哥(一日隔沖2雞酒2-2),0.1548590317437421,0.027188712610429013,-0.0441320834893224,0.01832540953335983,0.14605060283075713,1.0,0.03376152699956815,0.07104086659394403,0.1944739377209047,0.08904000028895406,0.17156267975775752,-0.005448704927643046,0.23323189151575036,0.13494042937116554,0.05772215951793363,0.06748880069585858,0.05670479506700251,0.11718933889167929,0.15373562721910486
Win多3_玄哥(三日波段1即將創高),0.24306755226218307,0.10819194846549768,0.5637265867407072,0.11617276105606547,0.00926594243113292,0.03376152699956815,1.0,0.1429558230715981,0.25604008828469854,0.15304791088345723,0.13267492816249313,0.003009363546259961,0.05952574946073463,0.27298405010109,0.13641437351854108,0.09019566507577886,0.1872992499594706,0.21609779807280916,0.13878133598042766
Win多3_玄哥(三日波段2投信突買),0.20715246533370055,0.02215126705242228,0.029743288271011446,0.4176073275493987,0.10382651748753688,0.07104086659394403,0.1429558230715981,1.0,0.22290463045156045,0.0731289604452518,0.17884430113276262,-0.053186894002430214,0.037778722223831954,0.16767528596489997,0.10191393919198485,0.07794626313751783,0.346891338434007,0.14258708865335432,0.15677835730574488
Win多4_玄哥(五日波段1籌碼),0.9330123776823162,0.07255806419277447,0.13957335191801853,0.08001653986868938,0.1617739413413905,0.1944739377209047,0.25604008828469854,0.22290463045156045,1.0,0.12561477272971552,0.3013882768105701,0.04056925418363983,0.16993456239608218,0.34110441875235825,0.2710005395204485,0.14175507417684413,0.3417706235989763,0.2982339831150121,0.31694591804525074
Win多5_玄哥(十日波段1中大),0.11765642880957905,0.07376611233481813,0.05320965848202516,0.0002459601947481159,0.0487355789701634,0.08904000028895406,0.15304791088345723,0.0731289604452518,0.12561477272971552,1.0,0.15203810338728088,0.0992774261763498,0.1937550806172538,0.27266952129979055,0.14771932817130354,0.15837328427470396,0.17609006869656904,0.2459838534885799,0.18494530047130794
